index,total_num,au_total_num,Level_1a,Level_1b,Level_1c,Level_2,Level_3,Level_4,Level_5,Level_6,Argumentative,Description,Exposition,Instruction,Multiple,Narrative,Transactional,Educational,Multiple ,Occupational,Personal,Public,Assess_quality_and_credibility,Corroborate_and_handle_conflict,Integrate_and_generate_inferences,Reflect_on_content_and_form,Represent_literal_meaning,Scan_and_locate,Search_and_select_relevant_text,Complex_Multiple_Choice ,Open_Response ,Simple_Multiple_Choice ,-3.00,-2.90,-2.80,-2.70,-2.60,-2.50,-2.40,-2.30,-2.20,-2.10,-2.00,-1.90,-1.80,-1.70,-1.60,-1.50,-1.40,-1.30,-1.20,-1.10,-1.00,-0.90,-0.80,-0.70,-0.60,-0.50,-0.40,-0.30,-0.20,-0.10,0.00,0.10,0.20,0.30,0.40,0.50,0.60,0.70,0.80,0.90,1.00,1.10,1.20,1.30,1.40,1.50,1.60,1.70,1.80,1.90,2.00,2.10,2.20,2.30,2.40,2.50,2.60,2.70,2.80,2.90,3.00,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39,theta_40,theta_41,theta_42,theta_43,theta_44,theta_45,theta_46,theta_47,theta_48,theta_49,theta_50,theta_51,theta_52,theta_53,theta_54,theta_55,theta_56,theta_57,theta_58,theta_59,theta_60
C1_1,5,4,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,3,0.1979936,0.222207111,0.249714495,0.28099837,0.31661073,0.357180467,0.403420528,0.456134136,0.516219259,0.584670263,0.662575336,0.751107933,0.851509979,0.965063986,1.093050357,1.236684816,1.397028859,1.574863138,1.770509756,1.983585824,2.212670143,2.454874006,2.705335497,2.956714251,3.198851216,3.418850643,3.601875782,3.732836675,3.798837095,3.791818634,3.71053472,3.561073479,3.355675795,3.110284819,2.841702643,2.565203227,2.293073931,2.034118344,1.793869194,1.575181308,1.37893343,1.204673565,1.051136136,0.916619721,0.799243859,0.697112811,0.608412994,0.53146568,0.464750815,0.406912951,0.356756614,0.31323585,0.275440948,0.242584179,0.213985663,0.189059991,0.167303928,0.148285338,0.131633354,0.11702974,0.104201377,0.193800408,0.216804335,0.24275397,0.272032214,0.305063116,0.342311617,0.384280935,0.431506605,0.484545908,0.543961247,0.610295793,0.68403975,0.765585715,0.855172241,0.952815748,1.058232744,1.170756753,1.289257523,1.412073484,1.53697145,1.661149138,1.781295074,1.893715669,1.99453056,2.079925318,2.146437777,2.191243735,2.212403088,2.209030678,2.181367183,2.130741671,2.059434848,1.970466423,1.867338551,1.753769107,1.633444563,1.509814393,1.385939542,1.264398391,1.147246314,1.036019909,0.931774511,0.835143179,0.74640661,0.665565443,0.592408878,0.526575779,0.467606355,0.414983945,0.3681674,0.326615099,0.28980192,0.257230503,0.22843807,0.202999908,0.180530426,0.160682534,0.143145919,0.127644631,0.113934325,0.101799356
C1_2,5,5,1,0,0,1,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,4,0.130417557,0.15142687,0.175695894,0.203674954,0.235854913,0.272762371,0.314950855,0.362986848,0.417429423,0.478802399,0.547558305,0.624034213,0.708400733,0.800607201,0.90032821,1.006918799,1.1193873,1.23639512,1.356290912,1.47718202,1.597039127,1.713822043,1.825607961,1.93070099,2.02770531,2.115553613,2.193495037,2.261058105,2.318009731,2.364328483,2.400199297,2.426021147,2.442404447,2.450127209,2.450023144,2.442792896,2.42875905,2.407619505,2.378280659,2.33885802,2.286905839,2.219876934,2.135732905,2.033553669,1.913969851,1.77928304,1.633235867,1.480504791,1.326064373,1.174585404,1.029986797,0.895192338,0.772080487,0.661577073,0.563829442,0.478408408,0.404500692,0.341071395,0.286989212,0.241115469,0.202362345,0.130417557,0.15142687,0.175695894,0.203674954,0.235854913,0.272762371,0.314950855,0.362986848,0.417429423,0.478802399,0.547558305,0.624034213,0.708400733,0.800607201,0.90032821,1.006918799,1.1193873,1.23639512,1.356290912,1.47718202,1.597039127,1.713822043,1.825607961,1.93070099,2.02770531,2.115553613,2.193495037,2.261058105,2.318009731,2.364328483,2.400199297,2.426021147,2.442404447,2.450127209,2.450023144,2.442792896,2.42875905,2.407619505,2.378280659,2.33885802,2.286905839,2.219876934,2.135732905,2.033553669,1.913969851,1.77928304,1.633235867,1.480504791,1.326064373,1.174585404,1.029986797,0.895192338,0.772080487,0.661577073,0.563829442,0.478408408,0.404500692,0.341071395,0.286989212,0.241115469,0.202362345
C1_3,4,4,0,0,0,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,4,0.100888459,0.115232701,0.131548723,0.150083935,0.171109389,0.194919785,0.221832691,0.252186732,0.286338474,0.324657732,0.367520977,0.415302571,0.468363531,0.527037603,0.591614454,0.662319831,0.739292617,0.822558692,0.912001586,1.007329964,1.108042232,1.213389103,1.322336016,1.433528973,1.545269607,1.655507691,1.761860975,1.861671956,1.952107794,2.030302591,2.093531789,2.139399081,2.166010774,2.172113664,2.157180376,2.121437818,2.065844688,1.992029078,1.902196184,1.799011979,1.685465644,1.564714414,1.439919024,1.314083143,1.18991285,1.069710423,0.955311084,0.848064011,0.748852179,0.658141251,0.576046143,0.502404648,0.436849728,0.378874826,0.327889092,0.283261513,0.24435432,0.210546889,0.181251727,0.155924183,0.134067424,0.100888459,0.115232701,0.131548723,0.150083935,0.171109389,0.194919785,0.221832691,0.252186732,0.286338474,0.324657732,0.367520977,0.415302571,0.468363531,0.527037603,0.591614454,0.662319831,0.739292617,0.822558692,0.912001586,1.007329964,1.108042232,1.213389103,1.322336016,1.433528973,1.545269607,1.655507691,1.761860975,1.861671956,1.952107794,2.030302591,2.093531789,2.139399081,2.166010774,2.172113664,2.157180376,2.121437818,2.065844688,1.992029078,1.902196184,1.799011979,1.685465644,1.564714414,1.439919024,1.314083143,1.18991285,1.069710423,0.955311084,0.848064011,0.748852179,0.658141251,0.576046143,0.502404648,0.436849728,0.378874826,0.327889092,0.283261513,0.24435432,0.210546889,0.181251727,0.155924183,0.134067424
C1_4,3,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0.101990354,0.114966731,0.129676555,0.146344144,0.165214934,0.186553726,0.210640968,0.23776637,0.268219002,0.302272903,0.340167272,0.382080434,0.428097192,0.478169947,0.5320752,0.589368717,0.649344762,0.711006905,0.773059598,0.833930022,0.891827857,0.944845906,0.991097108,1.02887449,1.056812478,1.074023489,1.080185236,1.075562268,1.060958059,1.037607857,1.00703334,0.970885005,0.93079658,0.888269111,0.844593507,0.800811973,0.757712649,0.715848612,0.675571742,0.637073148,0.600423838,0.565611521,0.532571381,0.501210086,0.471423303,0.443107537,0.416167346,0.390519035,0.366091817,0.342827287,0.320677899,0.299604924,0.279576275,0.26056443,0.242544598,0.225493199,0.20938669,0.19420072,0.179909581,0.166485915,0.153900628,0.101990354,0.114966731,0.129676555,0.146344144,0.165214934,0.186553726,0.210640968,0.23776637,0.268219002,0.302272903,0.340167272,0.382080434,0.428097192,0.478169947,0.5320752,0.589368717,0.649344762,0.711006905,0.773059598,0.833930022,0.891827857,0.944845906,0.991097108,1.02887449,1.056812478,1.074023489,1.080185236,1.075562268,1.060958059,1.037607857,1.00703334,0.970885005,0.93079658,0.888269111,0.844593507,0.800811973,0.757712649,0.715848612,0.675571742,0.637073148,0.600423838,0.565611521,0.532571381,0.501210086,0.471423303,0.443107537,0.416167346,0.390519035,0.366091817,0.342827287,0.320677899,0.299604924,0.279576275,0.26056443,0.242544598,0.225493199,0.20938669,0.19420072,0.179909581,0.166485915,0.153900628
C1_5,5,4,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,4,0.316425776,0.363688774,0.417479869,0.478503717,0.547472329,0.625078641,0.711961348,0.808660252,0.915562133,1.03283832,1.160376604,1.29771196,1.443962262,1.597776533,1.757303641,1.920188485,2.083600324,2.244294528,2.398705471,2.54306573,2.673546076,2.786411877,2.878193236,2.945866273,2.987039661,3.000133465,2.984528934,2.940662443,2.870038564,2.775148146,2.659294877,2.526352412,2.380487296,2.225886451,2.066522024,1.905974205,1.747318948,1.593076312,1.445208186,1.305151552,1.173873997,1.051940449,0.939583004,0.83676832,0.743259254,0.658669019,0.582507204,0.514217767,0.453209536,0.398879982,0.350633183,0.307892863,0.270111414,0.236775667,0.207410145,0.181578383,0.158882826,0.138963708,0.121497246,0.106193392,0.092793348,0.246237257,0.28350539,0.325890793,0.373905992,0.428048252,0.488772205,0.556454574,0.631350745,0.713543878,0.802888549,0.898952726,1.000963804,1.10776636,1.217800571,1.329110329,1.439388325,1.546061534,1.646414777,1.737743333,1.817519335,1.883552721,1.934126948,1.968093085,1.984912509,1.984646756,1.967901143,1.935734918,1.889553701,1.83099969,1.761851923,1.683944003,1.599101518,1.509097182,1.415619238,1.320248216,1.224438083,1.129499708,1.036586316,0.946681903,0.860594077,0.778952547,0.702213814,0.630671825,0.564473589,0.503638348,0.448078683,0.397622047,0.35203145,0.311024373,0.274289315,0.24149972,0.212325236,0.186440464,0.163531464,0.143300319,0.125468093,0.109776502,0.095988589,0.083888638,0.073281556,0.063991878
S1_1,5,3,0,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,2,2,0.063947744,0.074269686,0.08626447,0.100193676,0.116354441,0.13508204,0.156751739,0.181779479,0.210620889,0.243768034,0.281743334,0.325090192,0.374360205,0.430097446,0.49282131,0.563010852,0.641095376,0.727457988,0.822460406,0.926497585,1.040088483,1.164003069,1.299414397,1.448047646,1.612276572,1.795094602,1.999868503,2.229776644,2.486856131,2.770654474,3.076623149,3.394605201,3.708005987,3.994359188,4.227812872,4.383442158,4.442401836,4.396253703,4.248875089,4.015277332,3.717923877,3.381999022,3.0311499,2.684663969,2.356302102,2.054459846,1.783109533,1.543017505,1.332895618,1.15032093,0.992385121,0.856105737,0.738657455,0.6374818,0.550322461,0.475219609,0.410484676,0.354668141,0.306527,0.264994963,0.229156447,0.06275339,0.07272707,0.08427191,0.097619773,0.113029392,0.130786425,0.151202034,0.174609361,0.201357127,0.231799417,0.266280678,0.305114935,0.348558475,0.39677571,0.449798838,0.507483262,0.569462533,0.635108742,0.703506323,0.773448596,0.843466148,0.911893458,0.976974669,1.037001336,1.090466014,1.136208259,1.173526784,1.202235141,1.222648233,1.235500784,1.241812573,1.242724992,1.239336854,1.232564537,1.223044282,1.211085485,1.196675329,1.179528512,1.159171194,1.135045651,1.106620858,1.073494552,1.035474045,0.992626486,0.945293966,0.894074254,0.839772955,0.783336518,0.725777126,0.668099965,0.611241121,0.556021172,0.503116318,0.453046105,0.406175034,0.362724413,0.32279071,0.286367125,0.253365741,0.223638466,0.196995614
S1_10,5,4,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,4,0.145595846,0.169518849,0.197633669,0.230697009,0.269592947,0.315346245,0.369132046,0.432278453,0.506256891,0.592653212,0.693110494,0.809232771,0.942438674,1.09375646,1.263559211,1.45125291,1.654951108,1.871195152,2.094800613,2.318915672,2.535352684,2.735195472,2.909606352,3.050690889,3.152259541,3.210364486,3.223562195,3.192914193,3.121763638,3.015323852,2.880116659,2.723319848,2.552111641,2.373109782,2.19198005,2.013242632,1.840256836,1.675333417,1.519915126,1.374774951,1.240198474,1.116133831,1.002305526,0.898295849,0.803600713,0.717667053,0.639917742,0.569768455,0.506639448,0.449964078,0.399195135,0.353809573,0.313311957,0.277236829,0.245150131,0.216649807,0.191365717,0.168958982,0.149120878,0.131571407,0.11605762,0.131429463,0.152041628,0.176079394,0.20412609,0.236855251,0.275037036,0.319540337,0.371327342,0.431435987,0.50094416,0.58090806,0.672266167,0.775700978,0.891454335,1.019100708,1.157297679,1.303553972,1.454078973,1.603794509,1.74658567,1.87582861,1.985156556,2.069329592,2.125000354,2.151162708,2.149152796,2.122213341,2.074768093,2.011622642,1.937289285,1.855552724,1.769297428,1.680545816,1.590624358,1.500376825,1.410365272,1.321025733,1.232768122,1.146024887,1.061260687,0.978957403,0.899587413,0.823584899,0.751321479,0.68308932,0.619092553,0.559446244,0.504181376,0.453254002,0.40655684,0.363931825,0.325182522,0.290085626,0.258401113,0.229880819,0.20427542,0.181339895,0.160837618,0.142543284,0.126244834,0.111744592
S1_11,6,5,1,0,0,2,1,2,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,2,1,3,0.140403644,0.163105558,0.189451717,0.219999171,0.255377195,0.296291512,0.343526631,0.397945296,0.460483772,0.532141415,0.613962677,0.707009471,0.812321633,0.930863147,1.063451859,1.210670573,1.372757761,1.549476752,1.739963607,1.94255695,2.154619386,2.372371797,2.590779551,2.80355082,3.003322216,3.182099454,3.331973538,3.446042488,3.519360343,3.549663516,3.537645763,3.486681359,3.402080844,3.290114134,3.157080827,3.008640009,2.849483229,2.683312318,2.51301258,2.340899171,2.168942404,1.998921323,1.832494668,1.671204707,1.516440781,1.369389375,1.230990843,1.101914232,0.982553742,0.873044822,0.773294862,0.683022552,0.60180042,0.529096296,0.464310804,0.406809304,0.35594771,0.311092311,0.271634183,0.236998959,0.206652841,0.131198223,0.151613666,0.175108742,0.202102929,0.233055439,0.268462344,0.308850599,0.354767925,0.406767425,0.465385712,0.531113493,0.604357854,0.685396245,0.774323307,0.870993392,0.974963734,1.085445628,1.201272991,1.320898736,1.442428345,1.563696253,1.682383756,1.796167952,1.902881771,2.000658342,2.088031946,2.163974214,2.227857626,2.279355415,2.318302961,2.344555919,2.35788156,2.357911762,2.344170979,2.31617417,2.273572793,2.216315606,2.144787876,2.059898192,1.963094569,1.856307326,1.741831032,1.622168056,1.499860167,1.377332447,1.256767282,1.140017884,1.028562909,0.923497739,0.825554487,0.735141545,0.652393985,0.577227659,0.509391728,0.448516225,0.394152868,0.345808492,0.30297132,0.265130748,0.231791572,0.202483654
S1_12,4,1,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3,1,0.066144129,0.078684637,0.093571081,0.111224817,0.13213511,0.156866984,0.186068806,0.220479067,0.260931725,0.308359239,0.363792359,0.428355547,0.503256789,0.589770311,0.689210191,0.802891792,0.932075848,1.077886642,1.24119113,1.422421309,1.621321069,1.836607035,2.065558206,2.30359643,2.543983319,2.777813546,2.994483572,3.182712492,3.331985613,3.43406217,3.484081008,3.480921183,3.426790255,3.326333419,3.18568399,3.011759395,2.811867315,2.593497116,2.364126052,2.130944111,1.900509414,1.678414105,1.469046001,1.275493439,1.099592938,0.942085078,0.802830748,0.681043625,0.575506951,0.484756616,0.407223943,0.341339253,0.285601457,0.238620481,0.199139332,0.16604177,0.138350372,0.115218675,0.09592002,0.079834946,0.066438321,0.049540379,0.05834261,0.068628508,0.080616868,0.094546544,0.11067323,0.129263655,0.150586324,0.174897858,0.202423987,0.233334403,0.26771108,0.305510488,0.346521304,0.390320967,0.436236496,0.483317095,0.530327707,0.575772923,0.617958645,0.655094153,0.685429652,0.707415455,0.719860909,0.7220669,0.713907615,0.695845554,0.668876786,0.634417321,0.594152143,0.549873091,0.503329938,0.45611218,0.409570187,0.364775992,0.322517963,0.283320493,0.247479224,0.215103466,0.186159507,0.160510587,0.137951279,0.118235391,0.101097498,0.086268755,0.073487902,0.062508425,0.053102771,0.045064398,0.038208298,0.032370484,0.027406836,0.023191563,0.019615493,0.01658432,0.014016892,0.0118436,0.010004898,0.008449956,0.007135472,0.006024608
S1_13,6,3,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,4,1,0.083042468,0.096954752,0.113377991,0.132799802,0.155807263,0.183106849,0.215547545,0.254147027,0.300120269,0.354909039,0.420209271,0.497991013,0.590502279,0.700243446,0.829893026,0.982159343,1.159528288,1.363879248,1.595956866,1.854724795,2.13669513,2.435417561,2.741392393,3.042677234,3.326315197,3.580403718,3.796252566,3.969870004,4.102168287,4.197781691,4.262974682,4.303451888,4.322816807,4.322068292,4.300096954,4.254825855,4.18450537,4.088717547,3.96882369,3.827822695,3.669786544,3.499136133,3.320001845,3.135817913,2.949186431,2.761961138,2.575459815,2.390711789,2.208668811,2.030338869,1.856832912,1.68933762,1.529040604,1.377037701,1.234247627,1.101350482,0.978757065,0.866607983,0.764796498,0.673006952,0.590760713,0.030937771,0.037696024,0.045974446,0.056122167,0.068568305,0.08383918,0.102578349,0.12556931,0.153760203,0.188288934,0.2305057,0.281987619,0.344536841,0.420148906,0.510932389,0.618954774,0.74598539,0.893108533,1.060196101,1.245268273,1.443839507,1.648438734,1.848574425,2.031422353,2.18337277,2.292264169,2.349755957,2.353073049,2.30549054,2.215404246,2.094389898,1.954967904,1.808730349,1.665174698,1.531252446,1.411437038,1.308068057,1.221780417,1.151908931,1.096827629,1.054225637,1.021339984,0.995167776,0.972672929,0.950990908,0.927622804,0.900600898,0.868604544,0.831008981,0.787859736,0.739778557,0.687818997,0.633297248,0.577624815,0.522164742,0.468124749,0.416491588,0.368003535,0.323153325,0.28221201,0.245264628
S1_14,4,3,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,2,0.12717308,0.14610968,0.167862574,0.192767919,0.22116838,0.253398954,0.289767284,0.33052776,0.375849203,0.425776852,0.480190689,0.538764032,0.600928415,0.665852898,0.732447252,0.799398234,0.865245459,0.928497669,0.987781992,1.042009449,1.090532108,1.13326367,1.170737763,1.204086709,1.23493567,1.265219272,1.296936738,1.331866147,1.371260183,1.415548204,1.464076226,1.514928326,1.564885941,1.609585629,1.643917946,1.662661113,1.661268094,1.636649842,1.58775975,1.515815961,1.424098201,1.317384357,1.201191817,1.081019362,0.961745987,0.847264421,0.740348984,0.642705826,0.555134788,0.477737962,0.410128065,0.351609553,0.301321438,0.258341258,0.221755213,0.190701538,0.164394204,0.142133014,0.12330487,0.107379718,0.093903601,0.125477689,0.144011509,0.165266043,0.189554825,0.217192572,0.248479774,0.283681492,0.322999606,0.36653825,0.414263052,0.465956169,0.521170911,0.579191919,0.639008931,0.699313558,0.758528278,0.814874269,0.866479179,0.911517988,0.948371191,0.975777267,0.992953629,0.999663768,0.99621808,0.983409365,0.962397144,0.934563983,0.901369558,0.864224492,0.824398092,0.782964926,0.740787314,0.6985257,0.656666785,0.615559743,0.575452845,0.536525377,0.498912322,0.462721233,0.428042148,0.394952076,0.363515839,0.33378489,0.305795425,0.279566682,0.255099962,0.23237858,0.21136874,0.192021173,0.174273333,0.158051906,0.143275424,0.129856816,0.117705766,0.106730799,0.096841049,0.087947701,0.079965119,0.072811676,0.066410339,0.060689019
S1_15,3,3,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0.026671234,0.030078506,0.033995856,0.038511291,0.043729338,0.049774171,0.056793256,0.064961562,0.074486356,0.085612574,0.098628672,0.113872757,0.131738655,0.152681296,0.177220488,0.205941676,0.239491704,0.278566889,0.323889987,0.376171965,0.436054296,0.504028093,0.580328601,0.664807967,0.756796483,0.854972451,0.957271847,1.060877483,1.162327622,1.257769948,1.343355554,1.415723464,1.472483375,1.512582373,1.536456379,1.545919633,1.543817646,1.533531985,1.518455315,1.50154543,1.485028551,1.470274197,1.457823402,1.447527367,1.438745058,1.43055178,1.421921544,1.411860297,1.399482129,1.384034166,1.364886,1.341504568,1.313434592,1.280298676,1.241821807,1.19787511,1.148526182,1.094080182,1.03509769,0.972381318,0.906930888,0.026671234,0.030078506,0.033995856,0.038511291,0.043729338,0.049774171,0.056793256,0.064961562,0.074486356,0.085612574,0.098628672,0.113872757,0.131738655,0.152681296,0.177220488,0.205941676,0.239491704,0.278566889,0.323889987,0.376171965,0.436054296,0.504028093,0.580328601,0.664807967,0.756796483,0.854972451,0.957271847,1.060877483,1.162327622,1.257769948,1.343355554,1.415723464,1.472483375,1.512582373,1.536456379,1.545919633,1.543817646,1.533531985,1.518455315,1.50154543,1.485028551,1.470274197,1.457823402,1.447527367,1.438745058,1.43055178,1.421921544,1.411860297,1.399482129,1.384034166,1.364886,1.341504568,1.313434592,1.280298676,1.241821807,1.19787511,1.148526182,1.094080182,1.03509769,0.972381318,0.906930888
S1_16,4,3,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,3,0.136726207,0.158167627,0.183106491,0.212105768,0.24580628,0.284930648,0.330283918,0.382748918,0.443273754,0.512848185,0.592464953,0.683061761,0.785439757,0.900155499,1.027386059,1.166771691,1.31724753,1.476884951,1.642772878,1.810976803,1.976614351,2.134076663,2.2774021,2.40077477,2.499082802,2.568442885,2.606591092,2.613062301,2.589127369,2.537513744,2.461982068,2.366853608,2.256576636,2.135391491,2.00711725,1.875051084,1.741952062,1.610075753,1.481230771,1.356838037,1.237983372,1.125461253,1.01981151,0.921351887,0.830208836,0.74634779,0.669602991,0.599706301,0.536314076,0.479031303,0.42743242,0.381078552,0.339531209,0.302362682,0.269163521,0.239547563,0.213154959,0.189653643,0.168739613,0.150136373,0.133593782,0.096401216,0.113103721,0.132739276,0.155803092,0.182860404,0.21454974,0.251582915,0.294739853,0.344855744,0.402797362,0.469424781,0.545534367,0.63177914,0.728563778,0.835914267,0.953327002,1.079609221,1.212731755,1.349724661,1.48665354,1.618715064,1.74048015,1.846289752,1.930773409,1.989422289,2.019119348,2.018522518,1.98821959,1.930621781,1.849621988,1.750093969,1.637334528,1.516547015,1.39243739,1.268956345,1.149185804,1.035343695,0.92886987,0.83055607,0.740689688,0.659190551,0.585728971,0.519820443,0.4608971,0.408358661,0.361606755,0.32006652,0.283199039,0.25050742,0.221538743,0.195883408,0.173173018,0.153077474,0.135301785,0.119582823,0.10568622,0.093403449,0.08254915,0.072958689,0.064485949,0.057001343
S1_17,6,3,0,0,0,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,3,2,0.064544517,0.076630397,0.091031944,0.108200337,0.12867438,0.153096556,0.182231323,0.216985598,0.258431003,0.307827002,0.366643237,0.436578192,0.519569588,0.617789467,0.733613742,0.869552125,1.028120295,1.211633226,1.42189899,1.659800062,1.924768928,2.214201146,2.522901685,2.842718882,3.162558744,3.468952481,3.747240482,3.983243513,4.165085136,4.284718237,4.338774668,4.328582075,4.259458977,4.139575373,3.978695138,3.787036022,3.574370903,3.349405797,3.119420495,2.890135155,2.665756371,2.449151474,2.242098747,2.045564653,1.859967307,1.685397279,1.521780353,1.368979733,1.226845331,1.095223922,0.973945897,0.862802842,0.76152651,0.66977542,0.587131331,0.513104992,0.447148868,0.388673987,0.337068192,0.291713665,0.252002305,0.028875362,0.035133168,0.042770062,0.052092515,0.063474363,0.077370772,0.094334537,0.115034768,0.140277753,0.171029382,0.208437782,0.253853762,0.308844992,0.37519756,0.454895443,0.550064599,0.662864383,0.795305808,0.948976338,1.124657965,1.321844237,1.538197057,1.769035263,2.007003979,2.242110755,2.462294052,2.654580508,2.8066973,2.908803276,2.954897202,2.943533808,2.877708638,2.764042114,2.611567641,2.430451352,2.230881145,2.022239959,1.812581586,1.608373363,1.414448815,1.234109677,1.069321259,0.920953669,0.789032136,0.67297109,0.571777071,0.484214123,0.408931332,0.344555967,0.289757545,0.243288662,0.204008156,0.170891446,0.143031991,0.119636954,0.100019383,0.083588532,0.069839495,0.058342879,0.048734998,0.040708839
